# classificationAttributeAssignment,product,qualifier,unit,valueType,value
storyname:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.storyname,,1,"string,AND Story"
womenpattern:pcmClassification:1:pcmClassification:1:womenpatternCC:pcmClassification:1,MP000000000128233,pcmClassification/1/womenpatternCC.womenpattern,,4,"enum,pcmClassification,1,abstract"
ageband:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.ageband,,4,"enum,pcmClassification,1,22to35"
stylenote:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.stylenote,,1,"string,Stylishas12"
waistrise:pcmClassification:1:pcmClassification:1:waistriseCC:pcmClassification:1,MP000000000128233,pcmClassification/1/waistriseCC.waistrise,,4,"enum,pcmClassification,1,midrise"
multipack:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.multipack,,4,"enum,pcmClassification,1,no"
stylecode:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.stylecode,,1,"string,LUXRCHJN001SC"
fabricapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128233,pcmClassification/1/apparelCC.fabricapparel,,1,"string,Fabric"
sizechart:pcmClassification:1:pcmClassification:1:sizechartCC:pcmClassification:1,MP000000000128233,pcmClassification/1/sizechartCC.sizechart,,1,"string,PRETTYSEC_WOM_SHORTLEG"
womencasualbottomwearjeanslowersize:pcmClassification:1:pcmClassification:1:womencasualbottomwearjeanslowersizeCC:pcmClassification:1,MP000000000128233,pcmClassification/1/womencasualbottomwearjeanslowersizeCC.womencasualbottomwearjeanslowersize,,4,"enum,pcmClassification,1,l"
colorfamilyapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.colorfamilyapparel,,4,"enum,pcmClassification,1,blue"
displayproduct:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.displayproduct,,1,"string,Forever New Women Casual Jeans"
colorapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.colorapparel,,1,"string,Blue"
washcare:pcmClassification:1:pcmClassification:1:washcareCC:pcmClassification:1,MP000000000128234,pcmClassification/1/washcareCC.washcare,,1,"string,Machine Wash"
womenfabric:pcmClassification:1:pcmClassification:1:womenfabricCC:pcmClassification:1,MP000000000128234,pcmClassification/1/womenfabricCC.womenfabric,,4,"enum,pcmClassification,1,acrylic"
occasion:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.occasion,,4,"enum,pcmClassification,1,workwear"
modelfit:pcmClassification:1:pcmClassification:1:modelfitCC:pcmClassification:1,MP000000000128234,pcmClassification/1/modelfitCC.modelfit,,1,"string,Model fit"
denimtreatments:pcmClassification:1:pcmClassification:1:denimtreatmentsCC:pcmClassification:1,MP000000000128234,pcmClassification/1/denimtreatmentsCC.denimtreatments,,4,"enum,pcmClassification,1,applique"
weightapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.weightapparel,,1,"string,50g"
womenbottomwearfit:pcmClassification:1:pcmClassification:1:womenbottomwearfitCC:pcmClassification:1,MP000000000128234,pcmClassification/1/womenbottomwearfitCC.womenbottomwearfit,,4,"enum,pcmClassification,1,comfortfit"
featureapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.featureapparel,,1,"string,Feature"
storyname:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.storyname,,1,"string,AND Story"
womenpattern:pcmClassification:1:pcmClassification:1:womenpatternCC:pcmClassification:1,MP000000000128234,pcmClassification/1/womenpatternCC.womenpattern,,4,"enum,pcmClassification,1,abstract"
ageband:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.ageband,,4,"enum,pcmClassification,1,22to35"
stylenote:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.stylenote,,1,"string,Stylishas12"
waistrise:pcmClassification:1:pcmClassification:1:waistriseCC:pcmClassification:1,MP000000000128234,pcmClassification/1/waistriseCC.waistrise,,4,"enum,pcmClassification,1,midrise"
multipack:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.multipack,,4,"enum,pcmClassification,1,no"
stylecode:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.stylecode,,1,"string,LUXRCHJN001SC"
packcolor:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.packcolor,,4,"enum,pcmClassification,1,brown"
packquantity:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.packquantity,,1,"string,1"
fabricapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128234,pcmClassification/1/apparelCC.fabricapparel,,1,"string,Fabric"
sizechart:pcmClassification:1:pcmClassification:1:sizechartCC:pcmClassification:1,MP000000000128234,pcmClassification/1/sizechartCC.sizechart,,1,"string,PRETTYSEC_WOM_SHORTLEG"
womencasualbottomwearjeanslowersize:pcmClassification:1:pcmClassification:1:womencasualbottomwearjeanslowersizeCC:pcmClassification:1,MP000000000128234,pcmClassification/1/womencasualbottomwearjeanslowersizeCC.womencasualbottomwearjeanslowersize,,4,"enum,pcmClassification,1,l"
packcolor:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.packcolor,,4,"enum,pcmClassification,1,brown"
waistrise:pcmClassification:1:pcmClassification:1:waistriseCC:pcmClassification:1,MP000000000128236,pcmClassification/1/waistriseCC.waistrise,,4,"enum,pcmClassification,1,midrise"
displayproduct:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.displayproduct,,1,"string,Fab India Women Casual Jeans"
multipack:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.multipack,,4,"enum,pcmClassification,1,no"
occasion:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.occasion,,4,"enum,pcmClassification,1,workwear"
womenpattern:pcmClassification:1:pcmClassification:1:womenpatternCC:pcmClassification:1,MP000000000128236,pcmClassification/1/womenpatternCC.womenpattern,,4,"enum,pcmClassification,1,abstract"
womenbottomwearfit:pcmClassification:1:pcmClassification:1:womenbottomwearfitCC:pcmClassification:1,MP000000000128236,pcmClassification/1/womenbottomwearfitCC.womenbottomwearfit,,4,"enum,pcmClassification,1,comfortfit"
ageband:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.ageband,,4,"enum,pcmClassification,1,22to35"
modelfit:pcmClassification:1:pcmClassification:1:modelfitCC:pcmClassification:1,MP000000000128236,pcmClassification/1/modelfitCC.modelfit,,1,"string,Model fit"
packquantity:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.packquantity,,1,"string,1"
weightapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.weightapparel,,1,"string,50g"
womenfabric:pcmClassification:1:pcmClassification:1:womenfabricCC:pcmClassification:1,MP000000000128236,pcmClassification/1/womenfabricCC.womenfabric,,4,"enum,pcmClassification,1,acrylic"
colorfamilyapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.colorfamilyapparel,,4,"enum,pcmClassification,1,blue"
storyname:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.storyname,,1,"string,Fab India Story"
denimtreatments:pcmClassification:1:pcmClassification:1:denimtreatmentsCC:pcmClassification:1,MP000000000128236,pcmClassification/1/denimtreatmentsCC.denimtreatments,,4,"enum,pcmClassification,1,applique"
fabricapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.fabricapparel,,1,"string,Fabric"
washcare:pcmClassification:1:pcmClassification:1:washcareCC:pcmClassification:1,MP000000000128236,pcmClassification/1/washcareCC.washcare,,1,"string,Machine Wash"
sizechart:pcmClassification:1:pcmClassification:1:sizechartCC:pcmClassification:1,MP000000000128236,pcmClassification/1/sizechartCC.sizechart,,1,"string,PRETTYSEC_WOM_SHORTLEG"
stylenote:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.stylenote,,1,"string,Stylishas12"
womencasualbottomwearjeanslowersize:pcmClassification:1:pcmClassification:1:womencasualbottomwearjeanslowersizeCC:pcmClassification:1,MP000000000128236,pcmClassification/1/womencasualbottomwearjeanslowersizeCC.womencasualbottomwearjeanslowersize,,4,"enum,pcmClassification,1,l"
colorapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.colorapparel,,1,"string,Blue"
featureapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.featureapparel,,1,"string,Feature"
stylecode:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128236,pcmClassification/1/apparelCC.stylecode,,1,"string,LUXRCHJN001SC"
ageband:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.ageband,,4,"enum,pcmClassification,1,22to35"
weightapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.weightapparel,,1,"string,50g"
occasion:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.occasion,,4,"enum,pcmClassification,1,workwear"
womenbottomwearfit:pcmClassification:1:pcmClassification:1:womenbottomwearfitCC:pcmClassification:1,MP000000000128238,pcmClassification/1/womenbottomwearfitCC.womenbottomwearfit,,4,"enum,pcmClassification,1,comfortfit"
colorfamilyapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.colorfamilyapparel,,4,"enum,pcmClassification,1,blue"
sizechart:pcmClassification:1:pcmClassification:1:sizechartCC:pcmClassification:1,MP000000000128238,pcmClassification/1/sizechartCC.sizechart,,1,"string,PRETTYSEC_WOM_SHORTLEG"
multipack:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.multipack,,4,"enum,pcmClassification,1,no"
modelfit:pcmClassification:1:pcmClassification:1:modelfitCC:pcmClassification:1,MP000000000128238,pcmClassification/1/modelfitCC.modelfit,,1,"string,Model fit"
womencasualbottomwearjeanslowersize:pcmClassification:1:pcmClassification:1:womencasualbottomwearjeanslowersizeCC:pcmClassification:1,MP000000000128238,pcmClassification/1/womencasualbottomwearjeanslowersizeCC.womencasualbottomwearjeanslowersize,,4,"enum,pcmClassification,1,s"
denimtreatments:pcmClassification:1:pcmClassification:1:denimtreatmentsCC:pcmClassification:1,MP000000000128238,pcmClassification/1/denimtreatmentsCC.denimtreatments,,4,"enum,pcmClassification,1,applique"
fabricapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.fabricapparel,,1,"string,Fabric"
stylecode:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.stylecode,,1,"string,LUXRCHJN001SC"
waistrise:pcmClassification:1:pcmClassification:1:waistriseCC:pcmClassification:1,MP000000000128238,pcmClassification/1/waistriseCC.waistrise,,4,"enum,pcmClassification,1,midrise"
womenpattern:pcmClassification:1:pcmClassification:1:womenpatternCC:pcmClassification:1,MP000000000128238,pcmClassification/1/womenpatternCC.womenpattern,,4,"enum,pcmClassification,1,abstract"
displayproduct:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.displayproduct,,1,"string,Women Formal Jeans"
featureapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.featureapparel,,1,"string,Feature"
packquantity:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.packquantity,,1,"string,1"
washcare:pcmClassification:1:pcmClassification:1:washcareCC:pcmClassification:1,MP000000000128238,pcmClassification/1/washcareCC.washcare,,1,"string,Machine Wash"
womenfabric:pcmClassification:1:pcmClassification:1:womenfabricCC:pcmClassification:1,MP000000000128238,pcmClassification/1/womenfabricCC.womenfabric,,4,"enum,pcmClassification,1,acrylic"
colorapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.colorapparel,,1,"string,Blue"
packcolor:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.packcolor,,4,"enum,pcmClassification,1,brown"
storyname:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.storyname,,1,"string,Fab India Story"
stylenote:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128238,pcmClassification/1/apparelCC.stylenote,,1,"string,Stylishas12"
colorapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.colorapparel,,1,"string,Blue"
colorfamilyapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.colorfamilyapparel,,4,"enum,pcmClassification,1,blue"
storyname:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.storyname,,1,"string,AND Story"
featureapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.featureapparel,,1,"string,Feature"
packcolor:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.packcolor,,4,"enum,pcmClassification,1,brown"
waistrise:pcmClassification:1:pcmClassification:1:waistriseCC:pcmClassification:1,MP000000000128241,pcmClassification/1/waistriseCC.waistrise,,4,"enum,pcmClassification,1,midrise"
displayproduct:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.displayproduct,,1,"string,Forever New Women Casual Jeans"
multipack:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.multipack,,4,"enum,pcmClassification,1,no"
occasion:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.occasion,,4,"enum,pcmClassification,1,workwear"
denimtreatments:pcmClassification:1:pcmClassification:1:denimtreatmentsCC:pcmClassification:1,MP000000000128241,pcmClassification/1/denimtreatmentsCC.denimtreatments,,4,"enum,pcmClassification,1,applique"
fabricapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.fabricapparel,,1,"string,Fabric"
packquantity:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.packquantity,,1,"string,1"
stylenote:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.stylenote,,1,"string,Stylishas12"
washcare:pcmClassification:1:pcmClassification:1:washcareCC:pcmClassification:1,MP000000000128241,pcmClassification/1/washcareCC.washcare,,1,"string,Machine Wash"
weightapparel:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.weightapparel,,1,"string,50g"
sizechart:pcmClassification:1:pcmClassification:1:sizechartCC:pcmClassification:1,MP000000000128241,pcmClassification/1/sizechartCC.sizechart,,1,"string,PRETTYSEC_WOM_SHORTLEG"
womencasualbottomwearjeanslowersize:pcmClassification:1:pcmClassification:1:womencasualbottomwearjeanslowersizeCC:pcmClassification:1,MP000000000128241,pcmClassification/1/womencasualbottomwearjeanslowersizeCC.womencasualbottomwearjeanslowersize,,4,"enum,pcmClassification,1,m"
ageband:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.ageband,,4,"enum,pcmClassification,1,22to35"
womenbottomwearfit:pcmClassification:1:pcmClassification:1:womenbottomwearfitCC:pcmClassification:1,MP000000000128241,pcmClassification/1/womenbottomwearfitCC.womenbottomwearfit,,4,"enum,pcmClassification,1,comfortfit"
womenfabric:pcmClassification:1:pcmClassification:1:womenfabricCC:pcmClassification:1,MP000000000128241,pcmClassification/1/womenfabricCC.womenfabric,,4,"enum,pcmClassification,1,acrylic"
modelfit:pcmClassification:1:pcmClassification:1:modelfitCC:pcmClassification:1,MP000000000128241,pcmClassification/1/modelfitCC.modelfit,,1,"string,Model fit"
womenpattern:pcmClassification:1:pcmClassification:1:womenpatternCC:pcmClassification:1,MP000000000128241,pcmClassification/1/womenpatternCC.womenpattern,,4,"enum,pcmClassification,1,abstract"
stylecode:pcmClassification:1:pcmClassification:1:apparelCC:pcmClassification:1,MP000000000128241,pcmClassification/1/apparelCC.stylecode,,1,"string,LUXRCHJN001SC"
